experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
MI,43,57723,GB,Remoto,GB,M
EN,18,85000,US,Remoto,US,M
EN,18,75000,US,Remoto,US,M
SE,24,160000,US,Presencial,US,M
SE,24,140000,US,Presencial,US,M
SE,36,186000,US,Presencial,US,M
SE,36,190000,US,Presencial,US,M
SE,36,170000,US,Presencial,US,M
MI,71,200000,US,Presencial,US,M
SE,23,180000,US,Remoto,US,M
SE,23,115000,US,Remoto,US,M
SE,23,200000,US,Remoto,US,M
SE,23,115000,US,Remoto,US,M
EX,24,220000,US,Presencial,US,M
EX,24,205000,US,Presencial,US,M
MI,24,180000,US,Presencial,US,M
MI,24,130000,US,Presencial,US,M
SE,24,200000,US,Remoto,US,M
SE,24,150000,US,Remoto,US,M
SE,16,215000,US,Presencial,US,M
SE,16,170000,US,Presencial,US,M
SE,56,172200,US,Presencial,US,M
SE,36,176000,CA,Presencial,CA,M
SE,18,120000,US,Remoto,US,M
SE,18,75000,US,Remoto,US,M
EN,24,17022,IN,Remoto,IN,L
SE,18,140000,US,Presencial,US,M
SE,18,120000,US,Presencial,US,M
SE,24,128000,US,Presencial,US,M
SE,24,81500,US,Presencial,US,M
SE,24,145000,US,Presencial,US,M
SE,24,115000,US,Presencial,US,M
SE,24,185000,US,Presencial,US,M
SE,24,140000,US,Presencial,US,M
SE,31,100000,US,Presencial,US,M
SE,31,80000,US,Presencial,US,M
SE,36,162500,US,Presencial,US,M
MI,0,200000,US,Remoto,US,M
SE,24,145000,US,Presencial,US,M
SE,24,100000,US,Presencial,US,M
EX,24,145000,US,Presencial,US,M
EX,24,115000,US,Presencial,US,M
SE,36,203500,US,Presencial,US,M
SE,36,152000,US,Presencial,US,M
SE,36,122900,US,Presencial,US,L
SE,36,145000,US,Presencial,US,M
SE,35,191765,US,Presencial,US,M
SE,35,134236,US,Presencial,US,M
SE,2,190000,US,Remoto,US,M
SE,2,112000,US,Remoto,US,M
SE,36,88256,ES,Remoto,GB,L
EN,24,85000,US,Presencial,US,M
EN,24,65000,US,Presencial,US,M
SE,18,135000,US,Presencial,US,M
SE,18,105500,US,Presencial,US,M
SE,71,185000,US,Presencial,US,M
SE,18,80000,US,Presencial,US,M
SE,18,70000,US,Presencial,US,M
SE,24,220000,US,Remoto,US,M
SE,24,160000,US,Remoto,US,M
SE,36,175000,US,Remoto,US,M
SE,36,145000,US,Remoto,US,M
SE,18,200000,US,Presencial,US,M
SE,18,148500,US,Presencial,US,M
SE,36,48289,ES,Presencial,ES,M
SE,36,38631,ES,Presencial,ES,M
SE,24,123700,US,Presencial,US,L
SE,2,152900,US,Remoto,US,M
SE,2,117100,US,Remoto,US,M
SE,2,173000,US,Remoto,US,M
SE,2,113000,US,Remoto,US,M
SE,6,136000,US,Presencial,US,L
EX,24,175000,US,Presencial,US,M
EX,24,110000,US,Presencial,US,M
SE,6,136000,US,Presencial,US,L
SE,72,130000,US,Remoto,US,M
SE,72,110000,US,Remoto,US,M
SE,6,205000,US,Remoto,US,M
SE,6,184000,US,Remoto,US,M
SE,18,149500,US,Remoto,US,M
SE,18,127075,US,Remoto,US,M
SE,36,195000,US,Presencial,US,M
SE,36,160000,US,Presencial,US,M
SE,24,219535,US,Remoto,US,M
SE,24,146115,US,Remoto,US,M
SE,36,170000,US,Presencial,US,M
SE,36,135000,US,Presencial,US,M
SE,36,175000,US,Remoto,US,M
SE,36,145000,US,Remoto,US,M
SE,36,199000,US,Presencial,US,M
SE,36,162000,US,Presencial,US,M
SE,6,222200,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
EX,2,221000,US,Remoto,US,M
EX,2,153000,US,Remoto,US,M
SE,18,187000,US,Presencial,US,M
SE,18,128000,US,Presencial,US,M
SE,72,210000,US,Presencial,US,M
SE,72,136000,US,Presencial,US,M
SE,36,175000,US,Remoto,US,M
SE,36,100000,US,Remoto,US,M
SE,24,179000,US,Presencial,US,M
SE,24,109000,US,Presencial,US,M
SE,36,180000,US,Presencial,US,M
SE,18,142000,US,Remoto,US,M
SE,18,75000,US,Remoto,US,M
SE,27,198800,US,Presencial,US,M
SE,27,105200,US,Presencial,US,M
SE,18,125000,US,Remoto,US,M
SE,18,112000,US,Remoto,US,M
SE,36,210000,US,Presencial,US,M
SE,36,155000,US,Presencial,US,M
SE,27,115000,US,Remoto,US,M
SE,27,86000,US,Remoto,US,M
SE,36,165000,US,Presencial,US,M
SE,36,140000,US,Presencial,US,M
SE,18,139000,US,Presencial,US,M
SE,18,106000,US,Presencial,US,M
EN,18,40663,CA,Presencial,CA,L
MI,56,150450,US,Remoto,US,M
EN,36,51753,CA,Remoto,CA,L
SE,23,159500,US,Presencial,US,M
SE,24,145000,US,Presencial,US,M
SE,24,115000,US,Presencial,US,M
SE,18,140000,US,Presencial,US,M
SE,18,120000,US,Presencial,US,M
EN,36,130001,US,Remoto,US,M
EN,36,71907,US,Remoto,US,M
MI,36,93918,US,Remoto,US,M
MI,36,51962,US,Remoto,US,M
SE,18,175000,CA,Remoto,CA,M
SE,18,135000,CA,Remoto,CA,M
EN,24,85000,US,Presencial,US,M
EN,24,65000,US,Presencial,US,M
SE,56,147000,US,Presencial,US,M
SE,24,222000,US,Remoto,US,M
SE,24,175000,US,Remoto,US,M
SE,36,203000,US,Remoto,US,M
SE,36,133200,US,Remoto,US,M
EN,6,213660,US,Presencial,US,L
EN,6,130760,US,Presencial,US,L
SE,24,221000,US,Presencial,US,M
SE,24,147000,US,Presencial,US,M
SE,31,100000,US,Presencial,US,M
SE,31,80000,US,Presencial,US,M
SE,36,185900,US,Presencial,US,M
SE,36,129300,US,Presencial,US,M
SE,36,156000,US,Remoto,US,M
SE,56,199000,US,Remoto,US,M
MI,12,48289,ES,Remoto,ES,M
SE,24,150000,US,Presencial,US,M
SE,24,130000,US,Presencial,US,M
SE,36,140000,US,Remoto,US,M
SE,36,110000,US,Remoto,US,M
MI,18,90000,US,Presencial,US,M
MI,18,75000,US,Presencial,US,M
MI,72,195895,GB,Presencial,GB,M
MI,72,102772,GB,Presencial,GB,M
SE,24,183600,US,Presencial,US,M
MI,38,130000,US,Presencial,US,M
MI,38,80000,US,Presencial,US,M
SE,24,150000,US,Presencial,US,M
SE,21,160000,US,Remoto,US,M
SE,21,120000,US,Remoto,US,M
SE,56,202353,US,Presencial,US,M
SE,24,145000,US,Presencial,US,M
SE,24,120000,US,Presencial,US,M
SE,18,155000,US,Presencial,US,M
SE,18,106000,US,Presencial,US,M
SE,24,200000,US,Presencial,US,M
SE,24,160000,US,Presencial,US,M
SE,36,157750,US,Remoto,US,M
SE,36,104650,US,Remoto,US,M
MI,36,180000,US,Remoto,US,M
MI,36,140000,US,Remoto,US,M
EX,36,200000,US,Presencial,US,M
EX,36,145000,US,Presencial,US,M
MI,49,68000,US,Presencial,US,L
EN,9,60000,US,Remoto,US,M
SE,36,48289,ES,Presencial,ES,M
SE,36,38631,ES,Presencial,ES,M
EN,24,85000,US,Presencial,US,M
EN,24,65000,US,Presencial,US,M
MI,24,125000,US,Presencial,US,M
MI,24,90000,US,Presencial,US,M
SE,18,105000,US,Remoto,US,M
SE,18,90000,US,Remoto,US,M
SE,2,179820,US,Presencial,US,M
SE,2,143860,US,Presencial,US,M
SE,18,135000,US,Presencial,US,M
SE,18,105500,US,Presencial,US,M
EN,71,155000,US,Presencial,US,M
EN,71,125000,US,Presencial,US,M
SE,56,181000,US,Presencial,US,M
SE,36,154000,US,Presencial,US,M
EX,23,180000,US,Presencial,US,M
EX,23,155000,US,Presencial,US,M
SE,36,191765,US,Presencial,US,M
SE,36,134236,US,Presencial,US,M
SE,36,175000,US,Remoto,US,M
SE,36,145000,US,Remoto,US,M
SE,36,145000,US,Remoto,US,M
EN,71,155000,US,Presencial,US,M
EN,71,125000,US,Presencial,US,M
SE,18,80000,US,Presencial,US,M
SE,18,70000,US,Presencial,US,M
SE,24,146000,US,Presencial,US,M
SE,24,75000,US,Presencial,US,M
EN,18,64200,US,Remoto,US,M
EN,18,56100,US,Remoto,US,M
SE,56,170000,US,Presencial,US,M
SE,56,130000,US,Presencial,US,M
SE,18,208450,US,Remoto,US,M
SE,18,170550,US,Remoto,US,M
SE,56,125000,US,Presencial,US,M
SE,56,100000,US,Presencial,US,M
MI,27,135000,US,Presencial,US,M
MI,27,120000,US,Presencial,US,M
SE,36,200000,US,Remoto,US,M
SE,36,170000,US,Remoto,US,M
SE,6,222200,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
SE,18,153600,US,Presencial,US,M
SE,18,100500,US,Presencial,US,M
SE,6,205000,US,Remoto,US,M
SE,6,184000,US,Remoto,US,M
SE,56,115000,CA,Remoto,CA,M
SE,56,95000,CA,Remoto,CA,M
MI,18,182500,US,Presencial,US,M
MI,18,121500,US,Presencial,US,M
SE,24,203100,US,Presencial,US,M
SE,24,114500,US,Presencial,US,M
MI,18,72914,GB,Presencial,GB,M
MI,18,54685,GB,Presencial,GB,M
SE,24,129000,US,Presencial,US,M
EN,24,92700,US,Remoto,US,M
EN,24,61800,US,Remoto,US,M
SE,24,160000,US,Remoto,US,M
SE,24,130000,US,Remoto,US,M
SE,36,190000,CA,Presencial,CA,M
SE,36,170000,US,Presencial,US,M
SE,36,135000,US,Presencial,US,M
MI,23,167500,US,Presencial,US,M
MI,23,106500,US,Presencial,US,M
SE,36,195000,US,Presencial,US,M
SE,36,160000,US,Presencial,US,M
MI,24,146000,US,Presencial,US,M
MI,24,75000,US,Presencial,US,M
EX,24,207000,US,Remoto,US,M
SE,18,100000,US,Remoto,US,M
SE,18,80000,US,Remoto,US,M
SE,24,178600,US,Presencial,US,M
MI,61,220000,US,Presencial,US,M
SE,36,198200,US,Remoto,US,M
MI,72,210000,US,Remoto,US,M
MI,72,151800,US,Remoto,US,M
SE,36,200000,US,Remoto,US,M
SE,36,170000,US,Remoto,US,M
SE,36,170730,US,Presencial,US,M
SE,24,128000,US,Presencial,US,M
SE,24,81500,US,Presencial,US,M
EN,13,21461,ES,Presencial,ES,M
MI,54,134000,US,Remoto,US,M
MI,54,124000,US,Remoto,US,M
SE,24,171250,US,Presencial,US,M
SE,24,113750,US,Presencial,US,M
SE,24,165000,US,Presencial,US,M
SE,24,132300,US,Presencial,US,M
SE,36,175000,US,Presencial,US,M
SE,24,124500,US,Presencial,US,M
SE,56,172200,US,Presencial,US,M
SE,18,175000,US,Presencial,US,M
SE,18,145000,US,Presencial,US,M
SE,18,148700,US,Presencial,US,M
SE,18,125600,US,Presencial,US,M
SE,24,145000,US,Presencial,US,M
SE,24,115000,US,Presencial,US,M
SE,72,200000,US,Presencial,US,M
SE,72,150000,US,Presencial,US,M
EN,71,160000,US,Presencial,US,M
EN,71,120000,US,Presencial,US,M
SE,18,185000,US,Remoto,US,M
SE,18,120250,US,Remoto,US,M
SE,36,183000,US,Remoto,US,M
SE,23,170000,US,Remoto,US,M
SE,23,125000,US,Remoto,US,M
MI,23,167500,US,Presencial,US,M
MI,23,106500,US,Presencial,US,M
SE,72,200000,US,Presencial,US,M
MI,56,135000,US,Hibrido,US,L
SE,56,216000,US,Remoto,US,M
SE,56,184000,US,Remoto,US,M
SE,24,180000,US,Remoto,US,M
SE,24,165000,US,Remoto,US,M
SE,36,185900,US,Presencial,US,M
SE,36,129300,US,Presencial,US,M
SE,24,145000,US,Presencial,US,M
SE,24,120000,US,Presencial,US,M
MI,24,143865,US,Presencial,US,M
MI,24,115092,US,Presencial,US,M
MI,56,130000,US,Presencial,US,M
MI,56,90000,US,Presencial,US,M
SE,36,173000,US,Remoto,US,M
SE,36,132000,US,Remoto,US,M
SE,18,208049,US,Presencial,US,M
SE,18,128500,US,Presencial,US,M
SE,2,179820,US,Presencial,US,M
SE,2,143860,US,Presencial,US,M
SE,24,167500,US,Presencial,US,M
SE,24,106500,US,Presencial,US,M
SE,36,183500,US,Remoto,US,M
MI,24,149600,US,Presencial,US,M
MI,24,102000,US,Presencial,US,M
EX,36,145000,US,Presencial,US,M
EX,36,100000,US,Presencial,US,M
SE,18,190000,US,Remoto,US,M
SE,18,95000,US,Remoto,US,M
SE,18,153600,US,Presencial,US,M
SE,18,106800,US,Presencial,US,M
MI,18,128000,US,Presencial,US,M
MI,18,85000,US,Presencial,US,M
MI,24,151000,US,Presencial,US,M
MI,24,140000,US,Presencial,US,M
SE,36,183500,US,Remoto,US,M
SE,61,220000,US,Presencial,US,M
SE,61,170000,US,Presencial,US,M
SE,18,135000,US,Presencial,US,M
SE,18,105500,US,Presencial,US,M
SE,18,100000,US,Remoto,US,M
SE,18,80000,US,Remoto,US,M
SE,24,160000,CA,Remoto,CA,M
SE,24,145000,CA,Remoto,CA,M
MI,18,154000,US,Presencial,US,M
MI,18,143000,US,Presencial,US,M
MI,36,78990,GB,Presencial,GB,M
MI,36,51039,GB,Presencial,GB,M
EN,36,190000,US,Presencial,US,M
EN,36,120000,US,Presencial,US,M
MI,36,85066,GB,Presencial,GB,M
MI,36,51039,GB,Presencial,GB,M
MI,36,109371,GB,Presencial,GB,M
MI,36,72914,GB,Presencial,GB,M
SE,24,150000,US,Presencial,US,M
SE,24,111000,US,Presencial,US,M
SE,24,160000,US,Remoto,US,M
SE,24,130000,US,Remoto,US,M
MI,24,75000,US,Remoto,US,M
MI,24,60400,US,Remoto,US,M
EN,18,85000,US,Remoto,US,M
EN,18,75000,US,Remoto,US,M
SE,24,129000,US,Presencial,US,M
EN,24,92700,US,Remoto,US,M
EN,24,61800,US,Remoto,US,M
MI,18,83500,US,Remoto,US,M
MI,18,52500,US,Remoto,US,M
SE,36,201036,US,Presencial,US,M
SE,36,134024,US,Presencial,US,M
SE,18,165000,US,Remoto,US,M
SE,18,140000,US,Remoto,US,M
EN,24,62000,US,Remoto,US,M
EN,24,58000,US,Remoto,US,M
SE,36,172000,US,Presencial,US,M
SE,36,115000,US,Presencial,US,M
EN,24,125000,US,Presencial,US,M
EN,24,90000,US,Presencial,US,M
SE,24,163800,US,Presencial,US,M
SE,24,126000,US,Presencial,US,M
SE,36,145000,US,Remoto,US,M
MI,24,90000,US,Remoto,US,M
MI,24,90000,US,Remoto,US,M
SE,24,139500,US,Presencial,US,M
SE,24,109400,US,Presencial,US,M
SE,36,190000,CA,Presencial,CA,M
MI,24,145000,US,Presencial,US,M
MI,24,120000,US,Presencial,US,M
SE,24,205600,US,Presencial,US,L
SE,24,105700,US,Presencial,US,L
SE,24,129000,US,Presencial,US,M
SE,36,159832,US,Presencial,US,M
SE,36,186300,US,Remoto,US,M
SE,36,102500,US,Remoto,US,M
SE,24,165000,US,Presencial,US,M
SE,24,132300,US,Presencial,US,M
SE,36,190000,US,Presencial,US,M
SE,36,126000,US,Presencial,US,M
SE,23,149040,US,Remoto,US,M
SE,23,113900,US,Remoto,US,M
SE,24,153600,US,Remoto,US,M
SE,24,106800,US,Remoto,US,M
SE,24,172600,US,Remoto,US,M
SE,24,107900,US,Remoto,US,M
SE,18,180180,US,Presencial,US,M
SE,18,106020,US,Presencial,US,M
SE,23,213120,US,Remoto,US,M
SE,18,153600,US,Presencial,US,M
SE,18,100500,US,Presencial,US,M
SE,18,206500,US,Remoto,US,M
SE,18,121600,US,Remoto,US,M
EX,24,194500,US,Presencial,US,M
EX,24,115500,US,Presencial,US,M
SE,15,170000,US,Remoto,US,L
SE,5,90000,US,Remoto,US,L
EN,18,95000,US,Remoto,US,M
EN,18,70000,US,Remoto,US,M
SE,24,160000,US,Presencial,US,M
SE,18,115934,US,Remoto,US,M
SE,18,81666,US,Remoto,US,M
SE,36,175000,US,Presencial,US,M
SE,36,120000,US,Presencial,US,M
SE,56,150000,US,Remoto,US,M
SE,56,120000,US,Remoto,US,M
SE,71,200000,US,Presencial,US,M
SE,71,175000,US,Presencial,US,M
MI,18,206000,US,Presencial,US,M
MI,18,130000,US,Presencial,US,M
SE,23,138000,GB,Remoto,GB,M
SE,23,92000,GB,Remoto,GB,M
SE,18,110000,US,Remoto,US,M
SE,18,75000,US,Remoto,US,M
SE,2,130000,US,Presencial,US,M
SE,2,87000,US,Presencial,US,M
MI,18,160000,US,Presencial,US,M
MI,18,112000,US,Presencial,US,M
MI,24,162500,US,Presencial,US,M
MI,24,130000,US,Presencial,US,M
MI,36,145000,US,Presencial,US,M
MI,36,100000,US,Presencial,US,M
SE,24,147100,US,Presencial,US,M
SE,24,90700,US,Presencial,US,M
EN,24,115100,US,Presencial,US,M
EN,24,73900,US,Presencial,US,M
SE,24,168400,US,Presencial,US,M
SE,24,105200,US,Presencial,US,M
SE,36,210000,US,Presencial,US,M
SE,36,160000,US,Presencial,US,M
MI,36,145000,US,Presencial,US,M
MI,36,100000,US,Presencial,US,M
SE,6,222200,US,Presencial,US,L
SE,6,136000,US,Presencial,US,L
MI,18,100000,US,Presencial,US,M
MI,18,85000,US,Presencial,US,M
MI,24,85066,GB,Remoto,GB,M
MI,24,57723,GB,Remoto,GB,M
EX,36,200000,US,Presencial,US,M
EX,36,145000,US,Presencial,US,M
MI,24,140000,US,Presencial,US,M
MI,24,95000,US,Presencial,US,M
SE,18,185000,US,Remoto,US,M
SE,18,120250,US,Remoto,US,M
MI,44,130000,US,Remoto,US,L
SE,36,205000,US,Presencial,US,M
SE,36,140000,US,Presencial,US,M
SE,36,198200,US,Remoto,US,M
SE,72,141288,US,Presencial,US,M
SE,72,94192,US,Presencial,US,M
SE,25,184000,US,Remoto,US,M
SE,25,143000,US,Remoto,US,M
SE,18,70000,US,Presencial,US,M
SE,18,55000,US,Presencial,US,M
SE,2,183500,US,Remoto,US,M
MI,18,75000,US,Remoto,US,M
MI,18,65000,US,Remoto,US,M
MI,53,160000,US,Presencial,US,M
MI,53,147000,US,Presencial,US,M
SE,23,149040,US,Remoto,US,M
SE,23,113900,US,Remoto,US,M
SE,18,180180,US,Presencial,US,M
SE,18,106020,US,Presencial,US,M
MI,36,17022,IN,Remoto,IN,L
MI,49,18238,IN,Hibrido,IN,L
MI,56,150000,US,Presencial,US,M
SE,24,139500,US,Presencial,US,M
SE,24,109400,US,Presencial,US,M
SE,36,105000,US,Presencial,US,M
SE,36,70000,US,Presencial,US,M
EX,24,210914,US,Remoto,US,M
EX,24,116704,US,Remoto,US,M
EN,72,150000,US,Presencial,US,M
EN,72,100000,US,Presencial,US,M
SE,24,146000,US,Presencial,US,M
SE,24,75000,US,Presencial,US,M
EN,18,75000,US,Remoto,US,M
EN,18,60000,US,Remoto,US,M
MI,2,185700,US,Presencial,US,M
MI,2,165000,US,Presencial,US,M
SE,24,160000,US,Remoto,US,M
SE,24,130000,US,Remoto,US,M
SE,18,169000,US,Presencial,US,M
SE,18,110600,US,Presencial,US,M
SE,30,193000,US,Remoto,US,M
SE,30,136850,US,Remoto,US,M
SE,56,139500,US,Presencial,US,M
SE,56,109400,US,Presencial,US,M
SE,24,178500,US,Remoto,US,M
MI,36,59020,ES,Presencial,ES,M
MI,36,48289,ES,Presencial,ES,M
SE,56,195652,GB,Presencial,GB,M
SE,56,101228,GB,Presencial,GB,M
SE,24,136956,GB,Presencial,GB,M
SE,24,101228,GB,Presencial,GB,M
SE,24,129000,US,Presencial,US,M
SE,10,130000,US,Remoto,US,L
SE,24,163800,US,Presencial,US,M
SE,24,126000,US,Presencial,US,M
SE,53,110000,CA,Remoto,CA,M
SE,2,170000,US,Remoto,US,M
SE,2,130000,US,Remoto,US,M
SE,56,172200,US,Presencial,US,M
SE,36,159832,US,Presencial,US,M
SE,56,163800,US,Presencial,US,M
SE,56,126000,US,Presencial,US,M
MI,36,128750,US,Presencial,US,M
MI,36,106250,US,Presencial,US,M
SE,24,129000,US,Presencial,US,M
MI,21,155000,US,Presencial,US,M
MI,21,140000,US,Presencial,US,M
EX,24,167500,US,Presencial,US,M
EX,24,106500,US,Presencial,US,M
SE,23,188500,US,Remoto,US,M
SE,23,117000,US,Remoto,US,M
SE,18,138000,US,Remoto,US,M
MI,18,130000,CA,Remoto,CA,M
MI,18,100000,CA,Remoto,CA,M
SE,24,140000,US,Presencial,US,M
SE,24,120000,US,Presencial,US,M
SE,7,160000,US,Presencial,US,M
SE,7,135000,US,Presencial,US,M
MI,35,104500,US,Presencial,US,M
MI,35,70000,US,Presencial,US,M
MI,32,90000,US,Presencial,US,M
MI,32,70000,US,Presencial,US,M
SE,24,153600,US,Remoto,US,M
SE,24,106800,US,Remoto,US,M
EN,24,125000,US,Presencial,US,M
EN,24,90000,US,Presencial,US,M
MI,72,185000,US,Remoto,US,M
MI,72,125000,US,Remoto,US,M
SE,18,127000,US,Remoto,US,M
SE,18,94000,US,Remoto,US,M
SE,36,210550,US,Presencial,US,M
SE,36,153300,US,Presencial,US,M
MI,36,200000,US,Remoto,US,M
MI,36,150000,US,Remoto,US,M
SE,18,161500,US,Remoto,US,M
SE,18,119500,US,Remoto,US,M
SE,18,175000,US,Presencial,US,M
SE,18,145000,US,Presencial,US,M
SE,36,175000,US,Presencial,US,M
SE,36,148750,US,Presencial,US,M
SE,22,105000,US,Presencial,US,M
SE,22,85000,US,Presencial,US,M
SE,72,215000,US,Presencial,US,M
SE,72,146300,US,Presencial,US,M
SE,56,153400,US,Presencial,US,M
SE,56,122700,US,Presencial,US,M
MI,24,175000,US,Presencial,US,M
SE,36,186300,US,Remoto,US,M
SE,36,123900,US,Remoto,US,M
MI,72,150000,US,Remoto,US,M
SE,56,153400,US,Presencial,US,M
SE,56,122700,US,Presencial,US,M
MI,24,175000,US,Presencial,US,M
SE,18,185900,US,Presencial,US,M
SE,18,121700,US,Presencial,US,M
SE,18,153600,US,Presencial,US,M
SE,18,106800,US,Presencial,US,M
EN,18,100000,UZ,Remoto,US,L
SE,56,172200,US,Presencial,US,M
SE,18,125000,US,Presencial,US,M
SE,18,110000,US,Presencial,US,M
EN,18,150000,US,Presencial,US,M
EN,18,100000,US,Presencial,US,M
SE,36,149076,US,Presencial,US,M
SE,36,82365,US,Presencial,US,M
MI,24,146000,US,Presencial,US,M
MI,24,75000,US,Presencial,US,M
SE,56,139500,US,Presencial,US,M
SE,56,109400,US,Presencial,US,M
SE,24,139500,US,Presencial,US,M
SE,24,109400,US,Presencial,US,M
